Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
One Pot Chicken & Potatoes,⭐⭐⭐⭐,Super Simple,,Main Dish,90,IMG_20170906_181313.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/Z1KbyRrEgABg7IJHc2CMfg/y3Kow8yrpBkZ-ptKORJYR4VE_JdKTXbNJjCDE-GnieTVjVDQzbZpsuClN4bacTlT/5D8_lzM4veNp-qzh8MPS3B3eaLjMkiip2wcc0FlrGLM),Pinterest,,"Potatoes,Chicken,Carrots,Onion",,http://letthebakingbeginblog.com/2014/05/one-pot-chicken-potatoes/,9/30/2018,30/10/2018
Sweet Korean Lentils,⭐⭐⭐⭐⭐,Fairly Easy,DELICIOUS,Main Dish,45,IMG_20170903_192529.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/zeUZL61EhKx2UrsmcNQ_dA/8gG_MpncaeM1R9ZFBbO4T0o0ME5zczpgGhKHMeSnLi7VPmtObnsdSqb9Uokjmuxu/XXNR012rwF06gSnDwARQ0kU6EOKQx5Nl6SUE1gQNDCQ),Pinterest,,"Lentils,Rice,Onion",,https://itdoesnttastelikechicken.com/easyrecipe-print/7850-0/,2/18/2019,10/3/2019
Buckwheat Beetroot Salad,⭐⭐⭐,Average,,Main Dish,60,IMG_20170904_194839.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/HAvEt9t6Oy8_iSncBWrtTA/h9dQH2xmePrX0gCLiH4b0yGL5WRi3ORVIo-iUaVEvx9cnpH_KT7_juaLBbzlPhUB/NgWDF86kioh7PMPsC51u56Lm4G18HzVRXHCobYm-Pic),Pinterest,,"Beets,Buckwheat",,https://www.lazycatkitchen.com/warm-buckwheat-beetroot-salad/,12/13/2017,29/1/2018
New Potato Lentil Salad,⭐⭐⭐⭐,Fairly Easy,,Main Dish,50,IMG_20170905_205050.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/v_4hjqXq499UQjka7E8QvA/4egs254DAlNJwGKMfLwZZJC88R51MSTwoW2EveeAzWigRZhcYGfPuY11eXJLRvhc/k79qV53W756JEpQuW-onep5bpkHmkfnbaI5eJAmnsFY),Pinterest,,"Potatoes,Lentils",,http://www.occasionallyeggs.com/2016/08/roasted-new-potato-salad-with-lentils.html,1/16/2019,15/2/2019
Ham & Potato Soup,⭐⭐⭐⭐,Average,Super yummy,Main Dish,60,IMG_20170910_191325.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/wB0zQ-HMFNmg1NkMI2NBHg/x2S06RVf-E-kqjMDgKbm3U0s7OE-y7NF0n-o9IHJdAlFz8y6K-YOU4ZyyZSPIyn6/qU0y4hMPyFy10htH1aO3QFi-yaeO_K_bOylKk8R2_84),,,"Potatoes,Ham,Onion,Milk",,http://allrecipes.com/recipe/56927/delicious-ham-and-potato-soup/,7/15/2018,14/8/2018
Lemon Dill Potatoes,⭐⭐⭐⭐,Super Simple,,Main Dish,50,IMG_20170912_202005.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/e7xup5S99HR3EKQB-j9mhA/DkmZTmhtaCPDIiYLOB2MPw52yotw4wCmdG29_-yh8l_h7ILD0SaBfuKF_qPUnXkH/OhNBJNnjWHu7HZMGRPF3pzz_iz4ReH-bUDL8sFMv38g),Pinterest,,Potatoes,,https://tastespace.wordpress.com/2015/07/18/creamy-lemon-dill-roasted-potato-salad/,12/16/2018,15/1/2019
BBQ Lentils,⭐⭐⭐,Fairly Easy,Very good,Main Dish,60,IMG_20171001_183430.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/-ZHZIwIDS4K0nHNGlU9UKg/vyBBqZt3DsxBpXDTUMMDB_47MWvMidyShgrNvNV6GTuFEw3rGroLV9xKHUfrKPhI/NbLG185CkeskZEWv0tB_D6dNOuKJI-_-8zrXmlTv2Ac),Pinterest,,"Lentils,Rice",,https://www.rebootedmom.com/2017/08/05/barbecue-lentils-vegan-gluten-free-and-dairy-free/?utm_medium=social&utm_source=pinterest&utm_campaign=tailwind_tribes&utm_content=tribes,10/1/2017,17/11/2017
Healthy Buckwheat Soup,⭐⭐⭐,Super Simple,Eh,Main Dish,45,IMG_20170916_181235.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/JLS-5Y7AIBW_5-JVZFM61w/GDsN1fYW6bb9RBTQR6nBf3PBgUx3D_FBRiwg5UC7fRjOPeKCUIf7p3ZDSkFQ7sbP/LQqsv-HNN9GU2v4GFHFlY_RZJspv8OwyKHKoENDDtNE),Pinterest,,"Buckwheat,Carrots,Onion",,http://momsdish.com/recipe/385/healthy-buckwheat-soup,12/17/2017,2/2/2018
Buckwheat Chicken Pilaf,⭐⭐⭐⭐⭐,Hard,Extremely good,Main Dish,120,IMG_20170920_214256.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/6mdouE44rczLJXOoeZ-5Qg/ZVxSQzovjEuH_qN10rIZS6WgQ1ELD-sYz0iuZI-wTo-KjQqaXmuIxzHL7xNAcAWF/c3kMbsn_VMpr97v5Ird2gk1E-2x2gZJNmXdiEexr_6Y),Pinterest,,"Buckwheat,Carrots,Chicken,Onion",,https://natashaskitchen.com/buckwheat-and-beef-pilaf-plov/,1/19/2019,8/2/2019
Vegetable Noodle Soup,⭐⭐⭐⭐,Super Simple,"Luke's favorite way to eat noodles.  Absorbs a lot of water, need to add more second day",Main Dish,40,IMG_20170925_215045.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/nlRasMF1iXxMUiJ-N3wvPQ/HyDLeZ-t2yYrbIiegzZi1gwSX05H0XbFJ5I6mERGcxUuZ0-nofGVmSkwer3W9R7l/iDsy12oxbTuH_QoaldJnnXAdfvmkfuqi34Kc4lYbJR4),Pinterest,,"Carrots,Noodles",,http://thevegan8.com/2014/10/18/classic-vegan-noodle-soup/,8/28/2018,27/9/2018
Bacon and Honey Potato Salad,⭐⭐⭐,Fairly Easy,Don't cook bacon too long,Main Dish,45,IMG_20170926_202224.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/L6tt1-TnnJOTIzoFutTotQ/1ra7O-n_lIriooFER_PEJDIU_IjR5ZLtcV39alNupUsZkMxx6Sl_cLtlTbzaeDOX/LdpKxzR1fr4f0WwFOo_jfLln3O4G5zn4ccLBrOjXydk),Pinterest,,"Potatoes,Bacon",,https://www.smalltownwoman.com/warm-bacon-honey-mustard-potato-salad/,10/3/2017,19/11/2017
Pretzel Sticks,⭐⭐⭐⭐,Average,Flip pretzel sticks half way through,Baking Basics,60,IMG_20171004_185102.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/BVQ_cmDVMduZ_cnhpORXjQ/apjaM6mdsbaWbZu7jhsjoHOnngTBPIs2kZv8cNYWQtz8EICSvJ6V3xfyOa7mX2la/1GRMUIY_MAYqv1mrHGJrKJeScmnUoJI0TIwHxa_pUss),Pinterest,,"Eggs,Flour,Yeast",,https://gatherforbread.com/german-soft-pretzel-sticks/,10/4/2017,3/11/2017
Golden French Lentil Soup,⭐⭐⭐,Fairly Easy,Best lentil soup,Main Dish,60,IMG_20171008_191344.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/mQeQ3O3mbv8QwljfTdVQvQ/O7QtZvFEjeGOJkuJC2RMPiImU825aXaxnY-qJ2KiNiYRxs0VPOUyJa-yAfDiB44_/IjZAdSjirYuNglr5GaSPPE1tyv3omdcQshILp1SI1-o),Pinterest,,Lentils,,https://www.veggiesdontbite.com/vegan-lentil-stew-oh-she-glows-every-day/,2/1/2019,20/3/2019
Lentil Shepherd's Pie,⭐⭐⭐⭐⭐,Average,So good,Main Dish,90,IMG_20171010_202849.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/owdltmBmlKZ4QvcT8G9lcw/wBW37LdQzMuLURYuKYmBujv3AptZm77lqNVUuajNolEaWhCOfkELLe6Wrwcy2g6B/4JcBKx3ejprLwgHbcgSM8e6eXJfitZQOwprRe5Cbdac),Pinterest,,"Lentils,Carrots,Onion,Peas,Potatoes",,https://itdoesnttastelikechicken.com/seriously-the-best-lentil-shepherds-pie/,1/2/2018,22/1/2018
Honey Lime Chicken,⭐⭐⭐,Fairly Easy,Doesn't use the stove!  Sear chicken skin longer (+5 minutes),Main Dish,45,IMG_20171011_210405.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/B-_yOK5Q-PRIQbIF-2zY_A/azanWP0CZv9g2eSH-SGZL-blH1YV2NZUwBeblVt7e4KwZljVUU0pfppPazxTphSf/1e5V4biDlUXZzetlL7uidLKlY7ZWP3oey72YazRr3FQ),Pinterest,,"Chicken,Rice",,http://www.juliasalbum.com/2015/09/cilantro-lime-honey-chicken-thighs-recipe/,11/11/2017,28/12/2017
Lentil Curry,⭐⭐,Super Simple,Makes a ton,Main Dish,45,Image 05 November 2017 10:19 PM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/XmRAGH1yunC3N3P8Ldwdfg/iGwSQapg7n9fW2WjNA3Z3h4b37WzTdRaKrjc9f9zkEvc3Bekj3YMHR5n2UQsHTVqD88d7_xNzv9VWcjcSBDIyw/zYFA_ews_vkyUBbPGx9JRRLAnV6txZL5tJBa2EQm5_Y),Pinterest,,"Lentils,Carrots,Onion",,https://www.forksoverknives.com/recipes/indian-curry-lentils/#gs.lUICmXM,1/3/2018,6/3/2018
Dutch Oven Bread,⭐⭐⭐⭐⭐,Super Simple,Bake at 180 for 25 min with lid and 15 min without,Baking Basics,60,Image 05 November 2017 10:21 PM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/dMNyHJEf8kuzk1tsnddjLg/a_fpix1akjc-3NgAmborww86zrz3Sefd0FlxGcRXmfTmmA1q7qsBQO-577LvWXTWBz_6yIIXJLnWYqHezON5YA/pjsecB_Xg1rWv1Pq5UmYEVmAgAbBfk5XLpZ9yiHNybU),Pinterest,,"Flour,Yeast",,http://www.nutritiouseats.com/rosemary-dutch-oven-bread/,11/5/2017,25/11/2017
Potato Apple Roast,⭐⭐⭐⭐,Average,,Main Dish,45,IMG_20171030_190727.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/G6_QqGv9FKT0XxRWkHY-tQ/9G7gEvQ2_2D3QcFMEYVEcvt91XAu37X2SKejmXrLfC252_mQMYKhlXGkJpQ4ckAT/bPPYZpxm9OSppf5mpeK0uOcW_0F6SF-6_9wrRC1aPVo),Pinterest,,"Apple,Potatoes,Ham",,https://www.healthyseasonalrecipes.com/roasted-potatoes-with-apples-sausage-and-maple-mustard-glaze/,7/21/2018,20/8/2018
Baking Powder Biscuits,⭐⭐⭐⭐,Super Simple,,Baking Basics,30,IMG_20171025_194215.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/PPGu8IxA5cp9307DoW3HRQ/srNQDaplv10rfp3ZOQEmpaqFt8zUSVBGuxjG7pN8WeGl4M0PLw3H_DbqRy7mqTHp/B2UAYCnmXSYaIUkejWMGHcbX3Dz8yzzW-S0iY_UU12Q),Pinterest,,"Flour,Milk,Eggs",,https://www.kingarthurflour.com/recipes/baking-powder-biscuits-recipe,10/25/2017,24/11/2017
Sugar Cookies,⭐⭐⭐⭐⭐,Fairly Easy,,Baking Basics,25,IMG_20171018_201605 (1).jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/cp7HszIT1O-UcUGs3pWsgw/-OrzJQ3Qb6H8PaUeyuRB5rnzTN74g3bRwrdcutRpO5Xt9jvnrbPxulR6sPjs7L7noi4EaCCuaVRSTnsVzK1igw/-6LB0AukCzg4PotJeWwESsSFKUJ1rItSkGRI5WVmpQs),Pinterest,,"Flour,Eggs",,https://deliciouslysprinkled.com/soft-sugar-cookies/,10/18/2017,7/11/2017
Potato Curry,⭐⭐⭐⭐,Fairly Easy,"Too tomatoey, use less tomato, more cream",Main Dish,35,IMG_20171017_203922.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/XfH3wj9smYo3GomNmjSFEw/9ThIu6FgBDGgcRgAuHD-JIPOAYX5VSa8qsLuIZciZTnPRrNDekHq3dgMnAqgnjqW/OgmlCcAWiGQzTzk-QmMbizxNFMi5roQM00wTTWh2ieQ),Pinterest,,"Potatoes,Vegetarian",,http://www.savorytooth.com/easy-weeknight-potato-curry/,1/14/2018,13/2/2018
Bucatini all'Amatriciana,⭐⭐⭐⭐,Hard,Very yummy,Main Dish,45,IMG_20171107_194756.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/9PLxwhiQoPOhbBySS8uB8Q/3XUURUTffa5Y878BVJaMkc5x6sD1_2yB9eBfQOq_9xX5VTek7Rutk9ZMEyP_V7zn/MPWQm8ozocUj5HbXMUZ8iUpxD963GKWtYWsH9YaGu8c),Pinterest,,"Noodles,Tomatoes,Bacon",,https://www.bonappetit.com/recipe/bucatini-all-amatriciana-2,7/19/2018,18/8/2018
Brioche Chocolate Rolls,⭐⭐⭐⭐,Fairly Easy,,Baking Basics,120,IMG_20171108_194838.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/cmIMFMEp7NglPTq38Ekw5A/NZzf7lq9rF5uBzohGKLw41SsJ3JdUzNnXzR7-alfTdui00Xlr39ZuYfvIQHSh7Bh/rakJEVgQKFKMAkY-2TVIrcBG7onDZVuuGSO-Auxxnf4),Pinterest,,"Flour,Eggs,Yeast,Fish",,https://tutti-dolci.com/2013/11/brioche-rolls-with-chocolate/,11/7/2017,7/12/2017
Naan,⭐⭐⭐⭐⭐,Fairly Easy,Don't fry too long,Baking Basics,45,IMG_20171115_202417.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/rEQWiJ8wBitg5HlpcD0t0w/gAA30ckbwi5R_ww-nF4RZIBLwTLUwSreI_J_neUpdUXLgaqGCwFlhQh_4d84e0v0/ltzLqOJWCYVuK-_bwfOSo2XTf6KI_qNz48-PYpxUbPI),Pinterest,,"Milk,Yogurt,Flour,Yeast",,https://food52.com/recipes/24144-homemade-naan?utm_source=cj&affil=cj&utm_medium=affiliate&utm_campaign=Food52+Shop&company=Skimlinks&website=7262954,1/3/2018,23/1/2018
Lemon Poppy Seed Scones,⭐⭐⭐⭐⭐,Super Simple,,Baking Basics,30,IMG_20171119_085520.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/0_L3T7-p9iIhVEY_Q9KYvg/So5KLOvlcduqUrM4JW-sq3IPL7hohKCnzxzZJVWlUdbjdkSyU1E9YK_EuAfaYEDg/pPnMUTYfFX9c_IvHMYlRCsAu5Oa3_pAv1m8ks08q3dI),Pinterest,,"Flour,Butter,Sour Cream",,http://barefootandbaking.blogspot.ru/2012/05/lemon-poppy-seed-scones.html,11/19/2017,9/12/2017
Balsamic Dijon Root Vegetables,⭐⭐⭐⭐,Fairly Easy,Really yummy - takes a long time to cook,Main Dish,150,IMG_20171118_193436.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/aEN8BpVgEWkZNcrlBUfSBg/AVu9HwklB3vuacGdAvwvN-yDHs_Hfb_BMETT4-YT85Rn90ZlYFArwTZIceF-YhDu/q6GN8nnVfgwhlehxNE4PlpcGmhYide49kq6905S6ivY),Pinterest,,"Potatoes,Onion,Carrots,Parsnips",,http://www.thecreativebite.com/balsamic-dijon-roasted-root-vegetables/,6/19/2018,19/7/2018
Best Baked Chicken Legs,⭐⭐⭐⭐⭐,Super Simple,Luke loves it,Main Dish,90,IMG_20171121_204505.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/Q-_UwrfRDhlBUbZQ9gVuyA/9_pKWu_p7vEcvlI082syxMEXaEMgSOPVYprRqxFaDAdxdRD69ycWrDcdiKyoNtvm/1OGojdGAnIznXpd7NsfeCq35uiRyNvrWGIfbAuUxX0I),Pinterest,,"Chicken,Rice",,https://www.blessthismessplease.com/chicken-legs/?m,1/11/2019,31/1/2019
Spanish Lentil Soup,,Fairly Easy,Burns in an enamel pot,Main Dish,60,,Pinterest,,"Ham,Lentils",,http://www.myrecipes.com/recipe/spanish-style-lentil-soup,11/19/2017,19/11/2017
Chocolate Chip Irish Soda Bread,⭐⭐,Average,Can use enamel pot instead of skillet,Baking Basics,60,,Pinterest,,"Flour,Chocolate Chips",,http://www.delish.com/cooking/recipe-ideas/recipes/a51728/irish-soda-bread-recipe/,12/2/2017,2/2/2018
Malteese Gilatti,⭐⭐,Average,Hard to get them toasty,Baking Basics,120,,Pinterest,,"Flour,Butter,Yeast",,http://www.ilovefood.com.mt/recipes/galletti-recipe/,12/17/2017,17/2/2018
Buckwheat Carrot and Onion,⭐⭐⭐⭐,Fairly Easy,,Main Dish,40,,Pinterest,,"Buckwheat,Carrots,Onion",,http://www.pinchofcinnamon.com/2011/12/cooking-buckwheat.html,1/10/2018,9/2/2018
Sweet Potatoes with Yogurt and Chickpeas,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,,,"Chickpeas,Potatoes,Yogurt,Eggs",,https://www.prevention.com/food/10-healthy-chickpea-recipes/slide/9,1/8/2019,28/1/2019
Spanish Chickpeas,⭐⭐⭐⭐⭐,Average,Don't forget to make Naan dough ahead of time,Main Dish,45,,,,"Chickpeas,Flour,Yogurt,Onion,Eggs",,https://www.prevention.com/food/10-healthy-chickpea-recipes/slide/3,1/21/2019,10/2/2019
Lemon Fettuchini,⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,,,"Noodles,Coconut milk",,https://veganheaven.org/recipe/lemon-spaghetti-with-spinach/,6/1/2018,1/7/2018
