Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
Chickpea Masala,⭐⭐⭐⭐⭐,Fairly Easy,Don't forget to make Naan dough ahead of time,Main Dish,40,IMG_20180326_175645649.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/RFUJ4FQtMLKrUxphMrCDDg/zjLv7pXl1ti1aAsS8vQmvXnE7qMKsKQj_6mAuS9xLmhYjC0uOMuXZukcOC7uJiCB/c0VpgcZqGgbUV2HB70N7Xp_tW2eTv6z1Kea4tBmITSE),,,"Chickpeas,Flour,Yogurt,Eggs",,,11/11/2018,1/12/2018
Chickpea Broccoli Pesto,⭐⭐⭐,Super Simple,,Side Dish,40,,,,"Broccoli,Chickpeas",,,6/1/2018,18/7/2018
Thai Veggie Soup,⭐⭐⭐,Average,,Main Dish,30,IMG_20180327_174117059.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/yXAsyUI7a_0DBg89irFvVw/6oyWZPqqeILOxjzwaz6NaaVDWPYnR3StjOhNHZTSqtmg6ycUMDgmycMzngRTiaEk/w9xrfAy1_mYpe04HWiZ8cQoexofPOcbJC96dUL5xSq0),,,"Coconut milk,Noodles",,https://www.budgetbytes.com/thai-curry-vegetable-soup/,7/11/2018,27/8/2018
Buttery Herb Chicken,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180401_180911317_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/ANT5LKBH-hPcvQHpLD7AaA/MwuYu7m2bZ-i1L3U-RnBeU9Zs0BphtN-ydsovxSgc5Klyjiiuj-VRGtTU75YAU-ufOl8rb5YGf5r9zlM-AYK8A/W-oqHlBbBEck2guuNUwWKvJNIwGpVT9BqdxX5U7ey3s),,,"Chicken,Rice",,,4/1/2018,1/5/2018
Rosemary Parsnips,⭐⭐⭐⭐⭐,Super Simple,Can throw in carrots as well,Main Dish,35,IMG_20180401_180921951_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/YdSnliNKJWNVMRJhi1f2eQ/sVvkIS5CJE3_2E69D9pqq4OSOjgli0pF9zDETZu9_nGTBLHN4KRyrQzI3kyEsRbsBCy-TCbEMDySHEx7LDWkEA/STU5nYI4Gz3Nx0EiJvAIxKKkG_7EDE6BeRUv2y92m5w),,,Parsnips,,,4/1/2018,21/4/2018
Balsamic Potatoes and Asparagus,⭐⭐⭐,Super Simple,Potatoes for 25 min then aspargus for 15,Main Dish,40,,,,"Potatoes,Asparagus",,http://wallflowerkitchen.com/balsamic-roasted-new-potatoes-asparagus/,3/30/2018,16/5/2018
Quinoa Brussels Sweet Potato Salad,⭐⭐⭐⭐,Average,,Main Dish,40,,,,"Quinoa,Brussels Sprouts ,Sweet potato",,https://laurenkellynutrition.com/sweet-potato-brussels-sprout-quinoa-bowl/,12/30/2018,29/1/2019
Thai Peanut Cabbage Quinoa,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180430_173418382_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/y-7RPDilhsDfiT566JsYjQ/kbNYO1ZIP5EyGG8YKeO46gqF6MPmi9gaTLfFAyq_z6DtPbf1rBL_032ZC6PAYxItiQaAtW3MpAc0JN_Xx8ErAA/WoxUjgk88TlXx6U0TK8vxoKjgM8aZAkDPcXcEm-lxdA),,,"Quinoa,Cabbage,Peanut",,https://cookieandkate.com/2017/thai-peanut-quinoa-salad-recipe/,2/16/2019,18/3/2019
Lemon Garlic Asparagus with Orzo,⭐⭐⭐,Average,,Main Dish,30,,,,"Orzo,Asparagus",,https://www.thegardengrazer.com/2018/03/lemon-garlic-orzo-with-asparagus.html,6/13/2018,30/7/2018
Moroccan Sweet Potato Lentil Stew,⭐⭐⭐,Average,,Main Dish,60,IMG_20180416_180744528.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/pwxSB7_yNPLqGimD0FDZwg/jOM8rDT885MyrAqKIRgFaYMq1LJiU9xpxhmm7yMzCaFhBzWv6Fi60kLBFmRqCSvS/Lzc3nszY9JGT9Ax0rLgyXpfBB7hJ7kAHvyV_WUOpE9o),,,"Sweet potato,Lentils,Spinach,Onion,Carrots",,https://monkeyandmekitchenadventures.com/moroccan-sweet-potato-lentil-stew/,4/16/2018,2/6/2018
Chia Crusted Salmon,⭐⭐⭐⭐,Fairly Easy,SO GOOD,Main Dish,20,IMG_20180406_181053651.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/JVTLg7CbQdXIFzNJJRcFJw/1YGMpQpBXkuPEZoCx7E7EXlIWp7r918xwzeP0wtYJ72QgYwOZDAgjF5I1MdVhWpI/FkUa8aReZJHwSJmxjS3wGzrrf2_w8CrSE3b0eNyMumQ),,,"Salmon,Chia",,https://houseandhome.com/recipe/chia-crusted-salmon-recipe/,8/4/2018,3/9/2018
Pinto Beans and Tomatillo Cilantro Lime Rice,⭐⭐⭐⭐⭐,Hard,Amazing flavor,Main Dish,60,IMG_20180418_174202925.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/Vh9IyiaXKSdIJ6v0Y0-C4g/OXzbyat7xiTm38xghdThIZnKOAayNPGSJLnMpfl_R24SKybWk-FrD-NKpZgTBZxr/fw3HewSyjsZg3QHJr_19ZIYTa8Y_UaPcuTh0ajzyMz8),,,"Beans,Rice,Onion,Tomatillo,Lime,Garlic",,https://www.thecuriouschickpea.com/mexican-pinto-beans-and-tomatillo-cilantro-lime-rice/,2/17/2019,9/3/2019
Thai Squash Soup,⭐⭐⭐,Average,,Main Dish,60,IMG_20180424_190711006_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/97aG7_QpD8EB0-EZHdzYtg/TbxWqZ2mX63YrCLsUYFQggWkKMZsU9Pl2G0gYdHY8QIcjw7g8lrqNk3CRHhPSMXbZuPQhUihFJa1vhrFAvF7VQ/yACfBAIrnONwARZxy2_YC0__GMo91xVJpuRYuw33n0Y),,,"Squash,Coconut milk,Peanut,Onion,Garlic,Carrots,Cilantro",,http://hostthetoast.com/thai-coconut-curry-butternut-squash-soup/,4/17/2018,3/6/2018
Roasted Carrot & Peanut Sauce,⭐⭐⭐⭐⭐,Average,Ask Luke for recipe link,Main Dish,75,IMG_20180426_174238611_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/prU_9z8vfcbOMvt1XmM-nw/Jka8pCQ_KvAu5y0gGuiFs8Qe5fUjE0-tZczcPOLq7Ttsa0V9Y4J7_1Qn3gz89O_KSCpevQtButTT5d2Qbg5lmA/w3DnbXADNQuCWKr4CnYjB8bs7eXcpZguZS_Q7KdxdIE),,,"Carrots,Peanut,Cilantro",,https://pinchofyum.com/lentil-curry-bowls-with-cilantro-cashew-sauce,2/11/2019,3/3/2019
Majoram White Wine Chicken,⭐⭐⭐⭐,Average,,Main Dish,120,IMG_20180609_195012555_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/XgmakBfQfzUeKy8xXfH0qg/u3U7op9p_liNxECUylnNSuzCFeYpRrY6LYUk_Qck-2BtUk35Y8ME99NSHzqFPAjUeULbHBkEyoj5TXabvJtOnw/INax5nGFulN5lY2D9LD8UHEki0ZAUJnUDBNpPW7UWVE),Pinterest,,"Chicken,Wine",,https://www.foodandwine.com/recipes/wine-baked-chicken-legs-with-marjoram,1/8/2019,7/2/2019
Marjoram Carrots,⭐⭐⭐⭐⭐,Fairly Easy,,Side Dish,30,IMG_20180609_195018909_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/v056ePDJH5MWTCDYb_Mvxg/i-GMrIAHZgjfpPzfMSyrN-Ec-oteIPuL0tqiv5rBJ_G6VpJfCyfQrRuz2_c1D_FlsUPWMRlP1cXwY_KcSjgVcw/_AHXeKiqZkmVub5D2GAIWMBO_yxvHJw15KYHiV817kk),Pinterest,,"Carrots,Garlic",,https://www.foodandwine.com/recipes/sauteed-carrots-lemon-and-marjoram,1/8/2019,28/1/2019
Soy Mustard Salmon,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20,IMG_20180616_181210927_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/kWDW2mhcm8ztI4qJCsahkQ/bjJAiSmBD788p4O4aJDMPXJl2pzPvNJiyFvmKZqcm_zpD1gq9ayaexbPc2Xw9A1OgAyn3ZWcVZpiDYU4nJHCbw/DzG2RI8QMmprTUmvE9MST2avGh5_JyVrVbRmUHYiVS8),Sheet Pan Recipes,84,"Salmon,Soy Sauce,Dijon Mustard,Garlic,Ginger",,,6/16/2018,16/7/2018
Chive Butter Radishes,,,,,,,,,,,,6/16/2018,16/6/2018
Mango Chutney,⭐⭐⭐,Average,"Lots of chopping but easy clean up
Use less spices to allow mango and feta flavors more room",Side Dish,30,IMG_20180617_185026265_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/j_6QmdTpR2cVhD5rtnlQVw/KovN3DbrtPPjegBt21mne4zNGDc13BGJ-0a6-wKzRmI3eoF7kUQEOoO6uLwSfjlOa9PaOuP5Ey848NEQ6MhCOA/PuFrYOdSfoP-TBpKs09AaVwdWpX-TRNL64OCrGfwbbQ),Sheet Pan Recipes,,"Mango,Cheese,Apple,Raisins,Bell Pepper,Jalopeno Pepper",,,9/2/2018,19/10/2018
Vegetarian Chili,,,,Main Dish,,,Taste of Home,260,"Vegetarian,Tomatoes",,,7/8/2018,8/7/2018
Sweet Potato Breakfast Burritos,⭐⭐⭐⭐,,,Main Dish,,,,,Sweet potato,,https://www.ambitiouskitchen.com/healthy-sweet-potato-black-bean-avocado-breakfast-burritos/,11/1/2018,1/12/2018
Roasted Sweet Potato Lentil Salad,⭐⭐⭐⭐⭐,Fairly Easy,"Super healthy and yummy.

Combined two rexpies, use 1 c lentils, 3 sweet potatoes and add more celery and spinach.

Also use 1/4 tsp each paprika and cumin in dressing.",Salad,45,Image 07 July 2018 02:45 PM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/RGLZ1OlO1KIjj6M14fyAbw/NwACzQgAv4eFuyWIUhsiiXcUCcyUyWe8Jf-Ue7qfsbbV6BKZMBT_mzBTpgbOqM2_73Qd6ygcCDd1Xyu58HJSgg/eYZ75oC0upTXFlDkuaYbqlHSS0tc_BedJfjwsERHNLQ),Pinterest,,"Lentils,Sweet potato,Spinach,celery",,https://www.melskitchencafe.com/roasted-sweet-potato-lentil-salad/,1/17/2019,6/2/2019
Cornbread,⭐⭐⭐,Fairly Easy,,Side Dish,40,Image 15 July 2018 05:04 PM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/X9zk4ho1_WXXaHSusnbCVg/a7TyFVHyrI7Wvloi6F-7pPo7EkrFk_qrFN8gU52EpqvmpxHVyVUaN3Qyd6s8DAvGHXi7EaJYrFaxbrM3-H0Wzw/nfFTKSLWghPB5a6uUu5RL5LG3QysmrhUqZvivARW8Wo),Taste of Home,450,"Butter,Milk,Flour,Corn Meal,Baking Powder",,,7/8/2018,24/8/2018
Brussel Honey Lentil Quinoa,⭐⭐⭐,Fairly Easy,,Main Dish,,Image 17 July 2018 05:44 PM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/oUJ_GgZ6DoW5tn-Dn5D45g/w228HbW3A4ACthQi44Av_5w3YWAdJkOYe1gCABuzRs6oIMve15tPFNXHsU67Rhrg93cRRQXSinacu87E7iEyCQ/6i60G5o5lgm6TvS7iTGtHluAWJfWsc7XT0cV8xKz7mE),,,"Brussels Sprouts ,Quinoa,Lentils,Onion",,https://www.thekitchn.com/recipe-honey-roasted-sprouts-and-lentils-and-quinoa-249782,10/15/2018,1/12/2018
Lentil Sweet Potato Curry,⭐⭐⭐⭐,Average,,Main Dish,60,Image 30 July 2018 07:44 PM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/VRbn_fCW1q-kuo-Q2ymOEQ/EC1xwmE-Oh-GocFadKw8OFqe-hxzu96dkjJBmhKr4NXwi6eGU2PWz0yuCMcWe4TfnQubavQSGbQL_QoYXfHM9A/E_gLmZByt81JoAFz5S8vmnZz9wP_YJ0g8zDCiXx7ADU),Taste of Home,262,"Sweet potato,Apple,Lentils,Onion,Garlic,Tomatoes,Rice",,,7/30/2018,29/8/2018
Gnocci and white beans,⭐⭐⭐⭐,Average,,Main Dish,30,,Taste of Home,258,"Beans,Spinach,Tomatoes,gnocchi,Cheese",,,2/3/2019,5/3/2019
Pad Thai,⭐⭐⭐,Fairly Easy,,Main Dish,30,,Taste of Home,,"Vegetarian,Noodles",,,12/5/2018,21/1/2019
Kung Pao Chicken,⭐⭐,Fairly Easy,"Would be better with chicken breast, not legs",Main Dish,,IMG_20180825_175504336_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/QOYBZE4YZRvVQoMl8fYeSA/LUMQ-QMHbfKLZUlUTtCAeOovgGKTGzU4GytctZY7Q1GB0J2i0OtaibtT66Z3QcVPofPa__fl6EiLfRrD1zs0tA/gEZXUT6e_PTGDhjFMIcsm0lBJb-OnLykAmhkXKzweT4),,,"Chicken,Peanut,Water chestnuts",,,11/20/2018,21/1/2019
Mediterranean Tuna Steaks,⭐⭐⭐,Fairly Easy,Make some rice to go with it,Main Dish,,IMG_20180914_181912580_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/oDFbwhj7IzZ3Xt40BUd3wg/PsdFikicJDz2aP3YCxgZSgCEIcvGmqO3DZ-UdpG-oQFYvGdew_T9ciK-rZ9TNg4eJ_7M6JbjKlzRIjNcPqCCNw/8DCPFpbIsMiSbwHgJt7wfhrxDSPMgV2oP2oKo5H0lcw),,,"Tuna,Capers",,https://howtofeedaloon.com/mediterranean-tuna-steaks/,9/14/2018,31/10/2018
Spicy Black Bean Nachos,⭐⭐,,,Main Dish,,,,,"Beans,Adobo Chile",,https://www.mexicanplease.com/spicy-black-bean-nachos/,9/17/2018,18/11/2018
Tomato Basil Soup,⭐⭐⭐⭐,Average,,Main Dish,45,IMG_20180916_182754746.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/HJFEDx2rOpx_xy5Rxv341g/bosml3WRzeEUBTKxTmEJhumhhgL2yskOCWialLiNg9zzmCeMu3FMF8ty1THc9GJP/6UKcw2cninpqEGvGuBt7fACSY9UHmv_akhjMhPa4Olw),Good Housekeeping,60,"Tomatoes,Basil",,,1/12/2019,11/2/2019
Chewy Chocolate Chip COokies,⭐⭐⭐⭐⭐,Fairly Easy,,Dessert,30,IMG_20180804_143434172_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/IyQOFh3nVixMwtB5QYYn0A/UDdhOXsqHVv8Tl_p5ybxjbt_TuTLg-h2Nc8PwA58Nhq4dHHOurM8Y-TBWGdTggdXN-rhedJ_NM_Xfv-BiQqlRQ/uXUPTFqFYgTAIeDaNRe6gj7YWnBhbVesvsMSDdYBq-k),Pinterest,,"Butter,Chocolate Chips,Flour",,https://www.ihearteating.com/chewy-brown-sugar-chocolate-chip-cookie-recipe/,9/10/2018,30/9/2018
Quinoa Peanut Kale Curry,⭐⭐⭐⭐,Average,,Main Dish,45,IMG_20180823_204308156_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/Rm5l3BBQ3GQp_d8NAnfRqA/WhkXPFYtvtsH-xGdEUtgNKvn4fQUIJ8KH2TBH6LAWzJw9fLM_emmq5TLCs9OcUXF6w-PJOzYOBQrXjmK-1UFHA/aogFUvrvVYhoSYbSyrkH-AyX2Ibk_wMYeAym56Lxv3E),,,"Quinoa,Kale,Peanut,Cilantro,Onion,Coconut milk",,https://www.cookinglight.com/recipes/chickpea-and-kale-curry,12/28/2018,27/1/2019
Sweet Potato Lentil Curry with Pickled Onion,⭐⭐⭐⭐,Average,,Main Dish,60,"IMG_20180813_172915204_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/yoLTqrJbiXi1_bX7roS-nA/6WGSb4A1yN3vJZFYlo7Ra9mwlujb9THjYVF2IQB5ZA44tn-_yOtznPyBH5XGJE-duBaIQXo7u1XLHCyM-ipC-A/J3MltF4lpvu_R94d1FrxuagUlePxTbyeOD8upVXCHOg),IMG_20180813_172921095_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/HV-jNBAuKUeSp8D0PZi3HQ/lt_0Tx7WJ23jK4N0752V-YgG_eYTQoMsFgzmfwDp3npAOtwKtYe5KNuMNM0wQdzpvZTxzoJtXtKuNhtA7Exl8w/NWySrWP3XqN--WNn6ch56Ssy1FxQLXej8Eslzuqd9bk)",,,"Sweet potato,Red onion,Lentils,Ginger,Coconut milk,Cilantro",checked,https://www.cookinglight.com/recipes/sweet-potato-and-red-lentil-curry,2/2/2019,4/3/2019
Sardine Mediterranean Pasta,⭐⭐⭐,Fairly Easy,,Main Dish,30,IMG_20180814_172611816_HDR.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/thZ9VCuTI1vUonGM71IqVA/mwPENrQe_AdPHXUtrli1xZ8flZ4YouCePcPF7wHKNyez1X_xKbuWMGgDURUiyH2H9ZT9rqN--jglCQq2vOHSHA/PCQlD59rjeQvyy-cWz-su_KwxrvQMNHXYoGUNsHVrwg),,,"Sardine,Capers,Shallots,Lemon,Parsley",,https://toriavey.com/toris-kitchen/mediterranean-sardine-lemon-pasta/,2/4/2019,23/3/2019
Prosciutto apple flatbread pizza,⭐⭐⭐,Fairly Easy,,Main Dish,45,,Sheet Pan Suppers,,"Apple,Prosciutto,Cheese",,,9/23/2018,9/11/2018
Dill Cucumber Salmon,⭐⭐⭐⭐,Average,,Main Dish,30,Image 23 September 2018 09:05 AM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/BWJsqpLMQ5lHyPVJFCIu2Q/ifG7nrUoNH8BAlF1kPC5iYsC5k9Rzbw5XnaLFqnlApQrWuJferu6KMR_5pvTqf_BWFW2C_GlNMz4dobQIg_AGw/ozt5hn74Tl5oei4UsEV9v3lfxinWzWNKMoYaL0yNsv0),Sheet Pan Suppers,,"Fish,Yogurt,Cucumber,Dill,Broccoli,Red onion",,,11/2/2018,2/12/2018
Vegetable Couscous,⭐⭐⭐⭐⭐,,,Main Dish,,,Good Housekeeping,380,"Couscous,Green Onion,Carrots",,,1/30/2019,19/2/2019
Talapia Tacos,⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,Sheet Pan Suppers,90,Tilapia,,,10/26/2018,25/11/2018
Roasted Mackerel,,,,,,,Taste of Home,,,,,11/30/2018,30/11/2018
Lentil Salsa Soup,⭐⭐⭐⭐,,,,,,Taste of Home,,,,,12/7/2018,6/1/2019
Pesto Tomato Penne,⭐⭐⭐,Super Simple,,Main Dish,20,,,,Pesto,,https://www.foodnetwork.com/recipes/giada-de-laurentiis/penne-with-sun-dried-tomato-pesto-recipe-1942250,1/13/2019,1/3/2019
Black Bean Soup,⭐⭐⭐⭐,Fairly Easy,,Main Dish,30,,Taste From Home,,,,,2/13/2019,15/3/2019
Balsamic Pork Chops,,,,,,,,,,,,2/14/2019,14/2/2019
